1, 1698
2, 856
3, 402
4, 240
5, 169
6, 138
7, 120
8, 89
9, 45
10, 74
11, 102
12, 68
13, 64
14, 34
15, 27
16, 48
17, 42
18, 48
19, 65
20, 58
21, 17
22, 19
23, 14
24, 38
25, 33
26, 16
27, 27
28, 20
29, 21
30, 15
31, 6
32, 7
33, 26
34, 6
35, 6
36, 7
37, 17
38, 12
39, 14
40, 8
41, 8
42, 10
43, 4
44, 24
45, 36
46, 12
47, 3
48, 21
49, 11
50, 22
51, 13
52, 7
53, 3
54, 13
55, 12
56, 4
57, 7
58, 12
59, 10
60, 5
61, 6
62, 2
63, 5
64, 3
65, 8
66, 5
67, 3
68, 5
69, 5
70, 3
71, 4
72, 2
74, 8
75, 2
76, 4
77, 1
78, 4
79, 6
80, 3
81, 2
82, 2
83, 4
85, 2
86, 1
87, 7
88, 1
89, 3
90, 3
91, 1
93, 2
94, 1
95, 1
96, 1
97, 3
98, 3
99, 1
100, 53
101, 10
102, 1
103, 3
104, 2
105, 2
107, 1
109, 1
110, 4
111, 3
112, 3
114, 1
116, 1
118, 5
119, 1
120, 1
122, 2
123, 1
125, 3
131, 1
132, 1
137, 1
140, 2
143, 3
146, 1
147, 2
148, 1
158, 1
